event_id,event_timestamp,account_id,user_email,event_type,source
evt_000001,2026-03-08T00:36:17.706078+00:00,001000000510,user1@freeworkspace210.com,page_view,datadog_rum
evt_000002,2026-03-10T14:52:17.706078+00:00,001000000227,user3@company227.com,api_call,datadog_rum
evt_000003,2026-03-10T09:56:17.706078+00:00,001000000289,user4@company289.com,page_view,datadog_rum
evt_000004,2026-03-11T04:19:17.706078+00:00,001000000077,user4@company077.com,api_call,datadog_rum
evt_000005,2026-03-07T19:09:17.706078+00:00,001000000083,user2@company083.com,dashboard_view,datadog_rum
evt_000006,2026-03-10T19:43:17.706078+00:00,001000000350,user3@freeworkspace050.com,dashboard_view,datadog_rum
evt_000007,2026-03-11T07:57:17.706078+00:00,001000000487,user3@freeworkspace187.com,api_call,datadog_rum
evt_000008,2026-03-05T22:08:17.706078+00:00,001000000461,user4@freeworkspace161.com,integration_setup,datadog_rum
evt_000009,2026-03-04T17:28:17.706078+00:00,001000000521,user3@freeworkspace221.com,page_view,datadog_rum
evt_000010,2026-03-11T14:43:17.706078+00:00,001000000398,user4@freeworkspace098.com,dashboard_view,datadog_rum
evt_000011,2026-03-10T08:20:17.706078+00:00,001000000547,user1@freeworkspace247.com,page_view,datadog_rum
evt_000012,2026-03-07T18:14:17.706078+00:00,001000000415,user2@freeworkspace115.com,page_view,datadog_rum
evt_000013,2026-03-09T13:46:17.706078+00:00,001000000159,user4@company159.com,dashboard_view,datadog_rum
evt_000014,2026-03-08T00:36:17.706078+00:00,001000000253,user1@company253.com,page_view,datadog_rum
evt_000015,2026-03-04T21:20:17.706078+00:00,001000000418,user4@freeworkspace118.com,page_view,datadog_rum
evt_000016,2026-03-08T10:56:17.706078+00:00,001000000563,user4@freeworkspace263.com,page_view,datadog_rum
evt_000017,2026-03-06T05:05:17.706078+00:00,001000000593,user1@freeworkspace293.com,dashboard_view,datadog_rum
evt_000018,2026-03-06T20:15:17.706078+00:00,001000000454,user4@freeworkspace154.com,page_view,datadog_rum
evt_000019,2026-03-08T21:41:17.706078+00:00,001000000022,user3@company022.com,page_view,datadog_rum
evt_000020,2026-03-05T15:41:17.706078+00:00,001000000057,user3@company057.com,dashboard_view,datadog_rum
evt_000021,2026-03-05T15:40:17.706078+00:00,001000000598,user3@freeworkspace298.com,dashboard_view,datadog_rum
evt_000022,2026-03-11T06:27:17.706078+00:00,001000000400,user4@freeworkspace100.com,alert_created,datadog_rum
evt_000023,2026-03-07T14:55:17.706078+00:00,001000000112,user3@company112.com,dashboard_view,datadog_rum
evt_000024,2026-03-05T17:55:17.706078+00:00,001000000361,user2@freeworkspace061.com,page_view,datadog_rum
evt_000025,2026-03-06T17:25:17.706078+00:00,001000000519,user1@freeworkspace219.com,api_call,datadog_rum
evt_000026,2026-03-06T06:30:17.706078+00:00,001000000097,user2@company097.com,dashboard_view,datadog_rum
evt_000027,2026-03-08T14:53:17.706078+00:00,001000000295,user2@company295.com,page_view,datadog_rum
evt_000028,2026-03-07T11:30:17.706078+00:00,001000000016,user1@company016.com,page_view,datadog_rum
evt_000029,2026-03-09T04:10:17.706078+00:00,001000000498,user2@freeworkspace198.com,alert_created,datadog_rum
evt_000030,2026-03-05T18:05:17.706078+00:00,001000000238,user2@company238.com,api_call,datadog_rum
evt_000031,2026-03-08T12:35:17.706078+00:00,001000000004,user2@company004.com,dashboard_view,datadog_rum
