account_id,account_name,owner_role,account_owner_name,slack_destination,total_events_last_7_days,distinct_users_last_7_days,top_user_email,top_user_share_of_activity
001000000452,Free Freeworkspace152,AE,AE_8,UAE0000008,19,4,user2@freeworkspace152.com,0.42
001000000482,Free Freeworkspace182,AE,AE_8,UAE0000008,19,4,user2@freeworkspace182.com,0.42
001000000391,Free Freeworkspace091,AE,AE_5,UAE0000005,18,4,user1@freeworkspace091.com,0.33
001000000436,Free Freeworkspace136,AE,AE_7,UAE0000007,18,4,user2@freeworkspace136.com,0.33
001000000533,Free Freeworkspace233,AE,AE_1,UAE0000001,18,4,user3@freeworkspace233.com,0.39
001000000568,Free Freeworkspace268,AE,AE_7,UAE0000007,18,4,user2@freeworkspace268.com,0.28
001000000380,Free Freeworkspace080,AE,AE_10,UAE0000010,17,4,user1@freeworkspace080.com,0.41
001000000466,Free Freeworkspace166,AE,AE_3,UAE0000003,17,4,user1@freeworkspace166.com,0.29
001000000506,Free Freeworkspace206,AE,AE_1,UAE0000001,17,4,user3@freeworkspace206.com,0.29
001000000314,Free Freeworkspace014,AE,AE_3,UAE0000003,16,4,user4@freeworkspace014.com,0.44
